 # mean_posi     mean_energy     mean_weight
   1.1871505475659474        4.7648923754160224        4.5454032727296326E-002
   1.2005272400097260        4.8199760105280145        3.9048762717843577E-002
   1.1902643114450613        4.7811385380268616        3.8939056991238570E-002
   1.1921838802643749        4.7892634377906411        3.9206115062967895E-002
   1.1922399273742776        4.7858791650972510        3.8722072014653129E-002
   1.1990900954592856        4.8152940129387449        3.8891584347131074E-002
   1.1988989857757535        4.8148281966097510        3.7854339167904483E-002
   1.1984151404300292        4.8136063636354418        3.8170682037856722E-002
   1.1901053455774451        4.7782106199145291        3.8849134632443494E-002
   1.2041756551700344        4.8359446161342259        3.8763991477183325E-002
   1.2039143958744574        4.8355237749788298        3.8369212215943103E-002
   1.2019209249954013        4.8262838200697251        3.8244780250431737E-002
   1.2016064926048722        4.8240843373086220        3.7924339387492054E-002
   1.1987974300979634        4.8139328562098278        3.7977659109201256E-002
   1.1918890616461595        4.7866771907650696        3.8523778696722848E-002
   1.1933679467346008        4.7926973176566952        3.8857480096219921E-002
   1.1855359772967760        4.7609621057788170        3.8859967178989055E-002
   1.1991930919565632        4.8149060244948672        3.9137796158894199E-002
   1.1973292981167467        4.8076151172583756        3.8585885784719491E-002
   1.2032807271638586        4.8321617715585612        3.8900612964644900E-002
   1.2074825181089650        4.8479851567063310        3.8162110017432423E-002
   1.1971318214149234        4.8087388008503291        3.8288334566997047E-002
   1.2000098738671794        4.8182538071200929        3.8320371977171148E-002
   1.1919150869548492        4.7878494246745600        3.8158849381671064E-002
   1.1947156267493340        4.7959676604940711        3.9446355397011489E-002
   1.1935301519288830        4.7912348043485151        3.8973123603357973E-002
   1.1981759813935970        4.8110269277498761        3.8451604529043212E-002
   1.1994282916960748        4.8161770095433019        3.8651139731951209E-002
   1.1971202575335345        4.8070038578408445        3.8386124049935424E-002
   1.1972957032888365        4.8062580417653233        3.8291110320580718E-002
   1.1850016820222016        4.7561568797580733        3.8800877604270860E-002
   1.1956337328282540        4.7994977660739151        3.8917731596985750E-002
   1.1990493465444856        4.8131849318911115        3.8765070690497901E-002
   1.1923536306359737        4.7862583260918621        3.9017984350121888E-002
   1.1871222937779320        4.7664211187589718        3.8588007950700748E-002
   1.1992393723653780        4.8140722647974599        3.9410362683956923E-002
   1.1988944264729051        4.8143892227202985        3.8445398217260410E-002
   1.1910953609685326        4.7816511942453879        3.8655593086954695E-002
   1.1963988351324100        4.8034758909025408        3.8239039213979406E-002
   1.1904512584658151        4.7811938467595967        3.8890966675564465E-002
   1.1897716617265157        4.7744674978659907        3.9212790911972044E-002
   1.2042341222857302        4.8360987349432563        3.8803798164982188E-002
   1.1948205498934070        4.7978476922342121        3.8524923234258192E-002
   1.2043143998708457        4.8364012783873607        3.8382250698924099E-002
   1.1932036642462551        4.7912415241957271        3.8002943592194756E-002
   1.1953461523506714        4.7976396329487319        3.8371910760157300E-002
   1.1907132651534582        4.7808729963684025        3.8339827645559814E-002
   1.1984140194972244        4.8124628191385117        3.8800574705624681E-002
   1.1990868521165796        4.8137785880175379        3.8757716226112522E-002
   1.2098422674796352        4.8574125682149374        3.8687029679007050E-002
   1.1952340135882245        4.8001868567463646        3.7899231240242408E-002
   1.1951441412826014        4.7978738053858443        3.9108973518966736E-002
   1.2052100433993755        4.8400125459853580        3.8326904105158044E-002
   1.1926996649656065        4.7887820693612859        3.8315565374573944E-002
   1.2005190522852625        4.8197176054787150        3.8710949628955237E-002
   1.1865947261644842        4.7634238426121254        3.8022958189289295E-002
   1.2056171172789067        4.8419884537641140        3.8496431587708935E-002
   1.1820301437301419        4.7453055546529939        3.8487524474593506E-002
   1.1992955449389373        4.8141034057996288        3.9071502621400536E-002
   1.1910000937782128        4.7818290142677942        3.8688035385188606E-002
